"U0028","Vehicle Communication Bus A"
"P0290","Cylinder 10 Contribution/Balance"
"P2621","Throttle Position Output Circuit Low"
"U0069","Vehicle Communication Bus E (Open)"
"P0325","Knock Sensor 1 Circuit"
"P2406","Evaporative Emission System Leak Detection Pump Sense Circuit High"
"P2335","Ignition Coil 'L' Secondary Circuit"
"U0004","High Speed CAN Communication Bus (Low)"
"P0943","Hydraulic Pressure Unit Cycling Period Too Short"
"P2719","Pressure Control Solenoid 'D' Control Circuit Range/Performance"
"P4001","Battery Block 1 Overtemperature"
"P0371","Timing Reference High Resolution Signal 'A' Too Many Pulses"
"P4027","Battery Block 27 Overtemperature"
"P0431","Warm Up Catalyst Efficiency Below Threshold"
"P0140","O2 Sensor Circuit No Activity Detected"
"P0101","Mass or Volume Air Flow Circuit Range/Performance"
"P0689","ECM/PCM Power Relay Sense Circuit Low"
"P2624","Injector Control Pressure Regulator Circuit Low"
"P2519","A/C Request 'A' Circuit"
"P2137","Throttle/Pedal Position Sensor/Switch 'B' / 'C' Voltage Correlation"
"P0819","Up and Down Shift Switch to Transmission Range Correlation"
"P0210","Injector Circuit/Open - Cylinder 10"
"P2701","Transmission Friction Element 'B' Apply Time Range/Performance"
"P2727","Pressure Control Solenoid 'E' Control Circuit / Open"
"P2600","Coolant Pump Control Circuit/Open"
"P0403","Exhaust Gas Recirculation Control Circuit"
"P0017","Crankshaft Position - Camshaft Position Correlation"
"P0840","Transmission Fluid Pressure Sensor/Switch 'A' Circuit"
"P2527","Vacuum Reservoir Pressure Sensor Circuit Low"
"P0ADC","Hybrid Battery Positive Contractor Control Circuit High"
"P0088","Fuel Rail/System Pressure - Too High"
"P2769","Torque Converter Clutch Circuit Low"
"P2569","Direct Ozone Reduction Catalyst Temperature Sensor Circuit Low"
"P0260","Injection Pump Fuel Metering Control 'B' Intermittent (Cam/Rotor/Injector)"
"P2504","Charging System Voltage High"
"P0804","1-4 Upshift (Skip Shift) Lamp Control Circuit"
"P0067","Air Assisted Injector Control Circuit High"
"P3474","Cylinder 10 Deactivation/lntake Valve Control Performance"
"P2332","Ignition Coil 'K' Secondary Circuit"
"P0243","Turbo/Super Charger Wastegate Solenoid 'A'"
"P0987","Transmission Fluid Pressure Sensor/Switch 'E' Circuit"
"U0020","Low Speed CAN Communication Bus (Performance)"
"P0749","Pressure Control Solenoid 'A' Intermittent"
"P0565","Cruise Control On Signal"
"P0484","Fan Circuit Over Current"
"P0792","Intermediate Shaft Speed Sensor 'A' Circuit Range/Performance"
"P0609","Control Module VSS Output 'B'"
"P0499","Evaporative Emission System Vent Valve Control Circuit High"
"P0351","Ignition Coil 'A' Primary/Secondary Circuit"
"P2248","O2 Sensor Reference Voltage Performance"
"P0776","Pressure Control Solenoid 'B' Performance or Stuck off"
"U0314","Software Incompatibility with Four-Wheel Drive Clutch Control Module"
"P0090","Fuel Pressure Regulator 1 Control Circuit"
"P0592","Cruise Control Multi-Function Input 'B' Circuit Low"
"P2123","Throttle/Pedal Position Sensor/Switch 'D' Circuit High Input"
"P2294","Fuel Pressure Regulator 2 Control Circuit"
"U0326","Software Incompatibility with Vehicle Immobilizer Control Module"
"P3422","Cylinder 3 Exhaust Valve Control Performance"
"P4020","Battery Block 20 Overtemperature"
"P0008","Engine Position System Performance"
"U0182","Lost Communication With Lighting Control Module Front"
"P0120","Throttle/Pedal Position Sensor/Switch 'A' Circuit"
"P0712","Transmission Fluid Temperature Sensor 'A' Circuit Low"
"P0419","Secondary Air Injection System Control 'B' Circuit"
"P2720","Pressure Control Solenoid 'D' Control Circuit Low"
"P3451","Cylinder 7 Deactivation/lntake Valve Control Circuit Low"
"P2144","Exhaust Gas Recirculation Vent Control Circuit Low"
"U0177","Lost Communication With 'Restraints System Sensor H'"
"P0010","A' Camshaft Position Actuator Circuit"
"P0512","Starter Request Circuit"
"P0440","Evaporative Emission System"
"P2214","NOx Sensor Circuit Range/Performance"
"P0944","Hydraulic Pressure Unit Loss of Pressure"
"P2437","Secondary Air Injection System Air Flow/Pressure Sensor Circuit Low"
"P2226","Barometric Pressure Circuit"
"P0762","Shift Solenoid 'C' Stuck On"
"P0287","Cylinder 9 Contribution/Balance"
"P0578","Cruise Control Multi-Function Input 'A' Circuit Stuck"
"P2046","Reductant Temperature Sensor Circuit Intermittent"
"P0907","Gate Select Position Circuit High"
"P0A22","Generator Torque Sensor Circuit"
"C1526","Rotation Angle Sensor Initialization Incomplete"
"P0316","Engine Misfire Detected on Startup (First 1000 Revolutions)"
"U0209","Lost Communication With 'Seat Control Module B'"
"P0404","Exhaust Gas Recirculation Control Circuit Range/Performance"
"P0060","HO2S Heater Resistance"
"P0562","System Voltage Low"
"P2264","Water in Fuel Sensor Circuit"
"P2180","System Too Rich Off Idle"
"P0A51","Drive Motor 'A' Current Sensor Circuit"
"P0980","Shift Solenoid 'C' Control Circuit High"
"P3032","Battery Block 22 Becomes Weak"
"P0139","O2 Sensor Circuit Slow Response"
"P2233","O2 Sensor Signal Circuit Shorted to Heater Circuit"
"P0241","Turbo/Super Charger Boost Sensor 'B' Circuit Low"
"P0729","Gear 6 Incorrect Ratio"
"P0556","Brake Booster Pressure Sensor Circuit Range/Performance"
"P0043","HO2S Heater Control Circuit Low"
"P0366","Camshaft Position Sensor 'B' Circuit Range/Performance"
"P2091","B' Camshaft Position Actuator Control Circuit High"
"U0102","Lost Communication with Transfer Case Control Module"
"U0089","Reserved by J2012"
"P0529","Fan Speed Sensor Circuit Intermittent"
"P2302","Ignition Coil 'A' Secondary Circuit"
"P0839","Four Wheel Drive (4WD) Switch Circuit High"
"P0230","Fuel Pump Primary Circuit"
"P2121","Throttle/Pedal Position Sensor/Switch 'D' Circuit Range/Performance"
"P0645","A/C Clutch Relay Control Circuit"
"P2094","B' Camshaft Position Actuator Control Circuit Low"
"P2612","A/C Refrigerant Distribution Valve Control Circuit Low"
"P2423","HC Adsorption Catalyst Efficiency Below Threshold"
"P0758","Shift Solenoid 'B' Electrical"
"P0673","Cylinder 3 Glow Plug Circuit"
"P0735","Gear 5 Incorrect Ratio"
"P0207","Injector Circuit/Open - Cylinder 7"
"P2441","Secondary Air Injection System Switching Valve Stuck Closed"
"P2272","O2 Sensor Signal Stuck Lean"
"P2255","O2 Sensor Negative Current Control Circuit Low"
"U0405","Invalid Data Received From Cruise Control Module"
"P2789","Clutch Adaptive Learning at Limit"
"P0924","Gear Shift Reverse Actuator Circuit/Open"
"P0A16","Engine Mount Control Circuit High"
"P3418","Cylinder 3 Deactivation/lntake Valve Control Performance"
"P2430","Secondary Air Injection System Air Flow/Pressure Sensor Circuit"
"P2014","Intake Manifold Runner Position Sensor/Switch Circuit"
"P2100","Throttle Actuator Control Motor Circuit/Open"
"P2662","B' Rocker Arm Actuator System Stuck On"
"P0900","Clutch Actuator Circuit/Open"
"P2026","Evaporative Emissions (EVAP) Fuel Vapor Temperature Sensor Circuit Low Voltage"
"P0087","Fuel Rail/System Pressure - Too Low"
"U0303","Software Incompatibility with Transfer Case Control Module"
"U0009","High Speed CAN Communication Bus (shorted to Bus)"
"P2656","A' Rocker Arm Actuator System Performance or Stuck Off"
"P3468","Cylinder 9 Deactivation/lntake Valve Control Circuit High"
"P2064","Reductant Supply Control Circuit High"
"P2629","O2 Sensor Pumping Current Trim Circuit/Open"
"P0585","Cruise Control Multi-Function Input 'A'/'B' Correlation"
"P2A02","O2 Sensor Circuit Range/Performance"
"P0A3F","Drive Motor 'A' Position Sensor Circuit"
"P0A18","Motor Torque Sensor Circuit Range/Performance"
"P2231","O2 Sensor Signal Circuit Shorted to Heater Circuit"
"P2033","Exhaust Gas Temperature Sensor Circuit High"
"P4009","Battery Block 9 Overtemperature"
"P3138","Collision Sensor High Input"
"P0379","Timing Reference High Resolution Signal 'B' No Pulses"
"P0439","Catalyst Heater Control Circuit"
"P0532","A/C Refrigerant Pressure Sensor 'A' Circuit Low"
"U0150","Lost Communication With Gateway 'E'"
"P0224","Throttle/Pedal Position Sensor/Switch 'B' Circuit Intermittent"
"P2709","Shift Solenoid 'F' Electrical"
"P2509","ECM/PCM Power Input Signal Intermittent"
"C1534","ECU Malfunction"
"P2421","Evaporative Emission System Vent Valve Stuck Open"
"P0007","Fuel Shutoff Valve 'A' Control Circuit High"
"P0336","Crankshaft Position Sensor 'A' Circuit Range/Performance"
"P2055","Reductant Injector Circuit High"
"P0782","2-3 Shift"
"C1581","Assist Map Number Un-Writing"
"P0505","Idle Air Control System"
"P0915","Gear Shift Position Circuit Range/Performance"
"P2284","Injector Control Pressure Sensor Circuit Range/Performance"
"P2299","Brake Pedal Position / Accelerator Pedal Position Incompatible"
"P3436","Cylinder 5 Deactivation/lntake Valve Control Circuit High"
"U0301","Software Incompatibility with ECM/PCM"
"U0225","Lost Communication With 'Door Window Motor D'"
"P0622","Generator Field/F Terminal Circuit"
"P2149","Fuel Injector Group 'B' Supply Voltage Circuit/Open"
"P0965","Pressure Control Solenoid 'B' Control Circuit Range/Performance"
"P2192","System Too Rich at Higher Load"
"P2031","Exhaust Gas Temperature Sensor Circuit"
"U0073","Control Module Communication Bus Off"
"P2219","NOx Sensor Heater Control Circuit Low"
"P0295","Cylinder 12 Injector Circuit High"
"P2176","Throttle Actuator Control System - Idle Position Not Learned"
"P0992","Transmission Fluid Pressure Sensor/Switch 'F' Circuit"
"P2240","O2 Sensor Positive Current Control Circuit/Open"
"P3459","Cylinder 8 Deactivation/lntake Valve Control Circuit Low"
"P0024","B' Camshaft Position - Timing Over-Advanced or System Performance"
"P0702","Transmission Control System Electrical"
"P3050","Battery Block 40 Becomes Weak"
"P0145","O2 Sensor Circuit Slow Response"
"P2112","Throttle Actuator Control System - Stuck Closed"
"P0654","Engine RPM Output Circuit"
"P0388","Crankshaft Position Sensor 'B' Circuit High"
"P2745","Intermediate Shaft Speed Sensor 'B' Circuit"
"P0215","Engine Shutoff Solenoid"
"P2204","NOx Sensor Circuit Intermittent Input"
"P0A1B","Drive Motor 'A' Control Module"
"P0912","Gate Select Actuator Circuit Low"
"P0757","Shift Solenoid 'B' Stuck On"
"P2605","Intake Air Heater 'A' Circuit/Open"
"P2773","Four Wheel Drive (4WD) Low Switch Circuit Low"
"P0557","Brake Booster Pressure Sensor Circuit Low Input"
"P2573","Direct Ozone Reduction Catalyst Deterioration Sensor Circuit Range/Performance"
"P2162","Vehicle Speed Sensor 'A' / 'B' Correlation"
"P0978","Shift Solenoid 'C' Control Circuit Range/Performance"
"P3417","Cylinder 3 Deactivation/lntake Valve Control Circuit/Open"
"P0265","Cylinder 2 Injector Circuit High"
"U0193","Lost Communication With 'Digital Audio Control Module A'"
"P3488","Cylinder 11 Exhaust Valve Control Circuit High"
"P0570","Cruise Control Accelerate Signal"
"P2084","Exhaust Gas Temperature Sensor Circuit Range/Performance"
"U0320","Software Incompatibility with Power Steering Control Module"
"P2099","Post Catalyst Fuel Trim System Too Rich"
"P0698","Sensor Reference Voltage 'C' Circuit Low"
"P3467","Cylinder 9 Deactivation/lntake Valve Control Circuit Low"
"U0025","Low Speed CAN Communication Bus (Low)"
"P0ABF","Hybrid Battery Pack Current Sensor Circuit"
"P0956","Auto Shift Manual Mode Circuit Range/Performance"
"P2129","Throttle/Pedal Position Sensor/Switch 'E' Circuit Intermittent"
"U0113","Lost Communication With Emissions Critical Control Information"
"P0929","Gear Shift Lock Solenoid Control Circuit Range/Performance"
"U0071","Vehicle Communication Bus E (High)"
"P0308","Cylinder 8 Misfire Detected"
"P2313","Ignition Coil 'E' Primary Control Circuit High"
"P2019","Intake Manifold Runner Position Sensor/Switch Circuit"
"P0A7A","Generator Inverter Performance"
"P2040","Reductant Injection Air Pressure Sensor Circuit High Input"
"P2542","Low Pressure Fuel System Sensor Circuit High"
"P0618","Alternative Fuel Control Module KAM Error"
"P0842","Transmission Fluid Pressure Sensor/Switch 'A' Circuit Low"
"P4025","Battery Block 25 Overtemperature"
"P2027","Evaporative Emissions (EVAP) Fuel Vapor Temperature Sensor Circuit High Voltage"
"P3490","Cylinder 12 Deactivation/lntake Valve Control Performance"
"P0278","Cylinder 6 Contribution/Balance"
"P2158","Vehicle Speed Sensor 'B'"
"P2135","Throttle/Pedal Position Sensor/Switch 'A' / 'B' Voltage Correlation"
"P2553","Throttle/Fuel Inhibit Circuit Range/Performance"
"P2725","Pressure Control Solenoid 'E' Electrical"
"P0853","Drive Switch Input Circuit"
"P2657","A' Rocker Arm Actuator System Stuck On"
"U0146","Lost Communication With Gateway 'A'"
"P2069","Fuel Level Sensor 'B' Circuit Intermittent"
"P0750","Shift Solenoid 'A'"
"P0015","B' Camshaft Position - Timing Over-Retarded"
"P3408","Cylinder 1 Exhaust Valve Control Circuit High"
"U0216","Lost Communication With 'Door Switch B'"
"P2004","Intake Manifold Runner Control Stuck Open"
"P2525","Vacuum Reservoir Pressure Sensor Circuit"
"P2346","Cylinder #11 Above Knock Threshold"
"P2771","Four Wheel Drive (4WD) Low Switch Circuit"
"P0668","PCM/ECM/TCM Internal Temperature Sensor Circuit Low"
"P2670","Actuator Supply Voltage 'B' Circuit Low"
"P3410","Cylinder 2 Deactivation/lntake Valve Control Performance"
"P2571","Direct Ozone Reduction Catalyst Temperature Sensor Circuit Intermittent/Erratic"
"P0256","Injection Pump Fuel Metering Control 'B' (Cam/Rotor/Injector)"
"P0174","System Too Lean"
"P0065","Air Assisted Injector Control Range/Performance"
"U0191","Lost Communication With Television"
"P2239","O2 Sensor Positive Current Control Circuit High"
"P2185","Engine Coolant Temperature Sensor 2 Circuit High"
"P0092","Fuel Pressure Regulator 1 Control Circuit High"
"P0874","Transmission Fluid Pressure Sensor/Switch 'C' Circuit Intermittent"
"P0A08","DC/DC Converter Status Circuit"
"P3460","Cylinder 8 Deactivation/lntake Valve Control Circuit High"
"P0985","Shift Solenoid 'E' Control Circuit Low"
"U0111","Lost Communication With Battery Energy Control Module 'A'"
"P0337","Crankshaft Position Sensor 'A' Circuit Low"
"P0122","Throttle/Pedal Position Sensor/Switch 'A' Circuit Low"
"P0A10","DC/DC Converter Status Circuit High Input"
"U0054","Vehicle Communication Bus C (shorted to Bus C)"
"P3013","Battery Block 3 Becomes Weak"
"P2311","Ignition Coil 'D' Secondary Circuit"
"P3443","Cylinder 6 Deactivation/lntake Valve Control Circuit Low"
"U0413","Invalid Data Received From Battery Energy Control Module B"
"P0932","Hydraulic Pressure Sensor Circuit"
"U0096","Reserved by J2012"
"P0442","Evaporative Emission System Leak Detected (small leak)"
"P0151","O2 Sensor Circuit Low Voltage"
"P0822","Gear Lever Y Position Circuit"
"U0161","Lost Communication With Compass Module"
"P0453","Evaporative Emission System Pressure Sensor/Switch High"
"P0A60","Drive Motor 'A' Phase V Current"
"P0078","Exhaust Valve Control Solenoid Circuit"
"U0175","Lost Communication With 'Restraints System Sensor F'"
"P0851","Park/Neutral Switch Input Circuit Low"
"P0154","O2 Sensor Circuit No Activity Detected"
"P3046","Battery Block 36 Becomes Weak"
"P2435","Secondary Air Injection System Air Flow/Pressure Sensor Circuit"
"U0016","Medium Speed CAN Communication Bus (Low)"
"P2754","Transmission Fluid Cooler Control Circuit Low"
"P2105","Throttle Actuator Control System - Forced Engine Shutdown"
"P2182","Engine Coolant Temperature Sensor 2 Circuit"
"P0285","Cylinder 9 Injector Circuit Low"
"P0905","Gate Select Position Circuit Range/Performance"
"P0056","HO2S Heater Control Circuit"
"U0133","Reserved by J2012"
"P0896","Shift Time Too Long"
"P3233","Short to B+ in Blocking of HV Gate Connection"
"P0029","Exhaust Valve Control Solenoid Circuit Range/Performance"
"P0323","Ignition/Distributor Engine Speed Input Circuit Intermittent"
"U0066","Vehicle Communication Bus E (Open)"
"P4016","Battery Block 16 Overtemperature"
"P0A37","Generator Temperature Sensor Circuit Range/Performance"
"U0128","Lost Communication With Park Brake Control Module"
"P2039","Reductant Injection Air Pressure Sensor Circuit Low Input"
"P0474","Exhaust Pressure Sensor Intermittent"
"P0232","Fuel Pump Secondary Circuit High"
"P3487","Cylinder 11 Exhaust Valve Control Circuit Low"
"P3228","Converter Temperature Sensor Circuit High"
"P0659","Actuator Supply Voltage 'A' Circuit High"
"P2716","Pressure Control Solenoid 'D' Electrical"
"P2328","Ignition Coil 'J' Primary Control Circuit High"
"P0638","Throttle Actuator Control Range/Performance"
"P0686","ECM/PCM Power Relay Control Circuit Low"
"P0198","Engine Oil Temperature Sensor High"
"P2516","A/C Refrigerant Pressure Sensor 'B' Circuit Range/Performance"
"P0816","Downshift Switch Circuit"
"P0697","Sensor Reference Voltage 'C' Circuit/Open"
"P0344","Camshaft Position Sensor 'A' Circuit Intermittent"
"P3011","Battery Block 1 Becomes Weak"
"U0155","Lost Communication With Instrument Panel Cluster (IPC) Control Module"
"U0411","Invalid Data Received From Drive Motor Control Module"
"P0422","Main Catalyst Efficiency Below Threshold"
"P2766","Input/Turbine Speed Sensor 'B' Circuit Range/Performance"
"P2102","Throttle Actuator Control Motor Circuit Low"
"P0205","Injector Circuit/Open - Cylinder 5"
"P0118","Engine Coolant Temperature Circuit High"
"P2566","Turbocharger Boost Control Position Sensor Circuit Intermittent"
"P0617","Starter Relay Circuit High"
"P0451","Evaporative Emission System Pressure Sensor/Switch Range/Performance"
"P0277","Cylinder 6 Injector Circuit High"
"P2157","Fuel Injector Group 'D' Supply Voltage Circuit High"
"P0380","Glow Plug/Heater Circuit 'A'"
"P0818","Driveline Disconnect Switch Input Circuit"
"P0957","Auto Shift Manual Mode Circuit Low"
"P3407","Cylinder 1 Exhaust Valve Control Circuit Low"
"P0168","Fuel Temperature Too High"
"P0746","Pressure Control Solenoid 'A' Performance or Stuck Off"
"P0085","Exhaust Valve Control Solenoid Circuit Low"
"P0667","PCM/ECM/TCM Internal Temperature Sensor Range/Performance"
"P0606","ECM/PCM Processor"
"P0496","Evaporative Emission System High Purge Flow"
"P0970","Pressure Control Solenoid 'C' Control Circuit Low"
"U0131","Lost Communication With Power Steering Control Module"
"P0868","Transmission Fluid Pressure Low"
"P0321","Ignition/Distributor Engine Speed Input Circuit Range/Performance"
"P0032","HO2S Heater Control Circuit High"
"U0152","Lost Communication With Side Restraints Control Module Left"
"P3028","Battery Block 18 Becomes Weak"
"P0791","Intermediate Shaft Speed Sensor 'A' Circuit"
"U0428","Invalid Data Received From Steering Angle Sensor Module"
"P0690","ECM/PCM Power Relay Sense Circuit High"
"P2347","Cylinder #12 Above Knock Threshold"
"P2334","Ignition Coil 'L' Primary Control Circuit High"
"P0ADF","Hybrid Battery Negative Contractor Control Circuit Low"
"P0300","Random/Multiple Cylinder Misfire Detected"
"P0548","Exhaust Gas Temperature Sensor Circuit Low"
"P0794","Intermediate Shaft Speed Sensor 'A' Circuit Intermittent"
"P0A80","Replace Hybrid Battery Pack"
"P0594","Cruise Control Servo Control Circuit/Open"
"P0610","Control Module Vehicle Options Error"
"P0005","Fuel Shutoff Valve 'A' Control Circuit/Open"
"U0206","Lost Communication With Folding Top Control Module"
"P3424","Cylinder 3 Exhaust Valve Control Circuit High"
"P0879","Transmission Fluid Pressure Sensor/Switch 'D' Circuit Intermittent"
"P0270","Cylinder 4 Injector Circuit Low"
"P2402","Evaporative Emission System Leak Detection Pump Control Circuit High"
"U0184","Lost Communication With Radio"
"P0418","Secondary Air Injection System Control 'A' Circuit"
"P0714","Transmission Fluid Temperature Sensor 'A' Circuit Intermittent"
"U0199","Lost Communication With 'Door Control Module A'"
"P0136","O2 Sensor Circuit"
"P0514","Battery Temperature Sensor Circuit Range/Performance"
"P0726","Engine Speed Input Circuit Range/Performance"
"P0A21","Motor Torque Sensor Circuit Intermittent"
"U0038","Vehicle Communication Bus B (Performance)"
"U0086","Reserved by J2012"
"P0526","Fan Speed Sensor Circuit"
"P0468","EVAP Purge Flow Sensor Circuit High"
"P0836","Four Wheel Drive (4WD) Switch Circuit"
"U0097","Reserved by J2012"
"P0764","Shift Solenoid 'C' Intermittent"
"U0119","Reserved by J2012"
"P0643","Sensor Reference Voltage 'A' Circuit High"
"P0564","Cruise Control Multi-Function Input 'A' Circuit"
"P2242","O2 Sensor Positive Current Control Circuit High"
"U0127","Lost Communication With Tire Pressure Monitor Module"
"P0733","Gear 3 Incorrect Ratio"
"P0A00","Motor Electronics Coolant Temperature Sensor Circuit"
"P4038","Battery Block 38 Overtemperature"
"P3052","Battery Block 42 Becomes Weak"
"P0159","O2 Sensor Circuit Slow Response"
"P2648","A' Rocker Arm Actuator Control Circuit Low"
"P3227","Converter Temperature Sensor Circuit Low"
"P2253","O2 Sensor Negative Current Control Circuit High"
"P2301","Ignition Coil 'A' Primary Control Circuit High"
"P2327","Ignition Coil 'J' Primary Control Circuit Low"
"P3047","Battery Block 37 Becomes Weak"
"U0403","Invalid Data Received From Transfer Case Control Module"
"U0017","Medium Speed CAN Communication Bus (High)"
"P3034","Battery Block 24 Becomes Weak"
"U0169","Lost Communication With Sunroof Control Module"
"P2738","Pressure Control Solenoid 'F' Control Circuit Low"
"P2786","Gear Shift Actuator Temperature Too High"
"P0A2C","Drive Motor 'A' Temperature Sensor Circuit Low"
"U0104","Lost Communication With Cruise Control Module"
"P2538","Ignition Switch Accessory Position Circuit High"
"P0772","Shift Solenoid 'E' Stuck On"
"U0067","Vehicle Communication Bus E (Low)"
"P4017","Battery Block 17 Overtemperature"
"P0479","Exhaust Pressure Control Valve Intermittent"
"P0755","Shift Solenoid 'B'"
"U0006","High Speed CAN Communication Bus (Open)"
"P2614","Camshaft Position Signal Output Circuit/Open"
"P0117","Engine Coolant Temperature Circuit Low"
"P0070","Ambient Air Temperature Sensor Circuit"
"P0572","Brake Switch 'A' Circuit Low"
"U0322","Software Incompatibility with Body Control Module"
"P0555","Brake Booster Pressure Sensor Circuit"
"P2717","Pressure Control Solenoid 'D' Intermittent"
"P2274","O2 Sensor Signal Stuck Lean"
"P2626","O2 Sensor Pumping Current Trim Circuit/Open"
"P0583","Cruise Control Vacuum Control Circuit Low"
